
gamma	ort_gel_X	ort_gel_Y	ort_gel_Z	normort_gel	vnesh_ort_X	vnesh_ort_Y	vnesh_ort_Z	i_gelio	Omega_gelio	p_gelio	e_gelio	a_gelio	r_pi_gelio	r_a_gelio
3,6000	594017068,8524	126845215,5679	13258561414,4192	13272467621,6115	0,0448	0,0096	0,9990	2,6230	102,0538	8,8729	0,8632	34,8230	4,7621	64,8840
3,7000	600976218,3533	128525467,9346	13257994459,0050	13272230720,0388	0,0453	0,0097	0,9989	2,6540	102,0715	8,8726	0,8632	34,8037	4,7621	64,8454
3,8000	607934595,4418	130205538,6040	13257423715,0350	13271993878,6374	0,0458	0,0098	0,9989	2,6850	102,0888	8,8723	0,8631	34,7843	4,7621	64,8065
3,9000	614892178,9213	131885422,4586	13256849184,2476	13271757097,3192	0,0463	0,0099	0,9989	2,7160	102,1057	8,8720	0,8630	34,7647	4,7621	64,7672
4,0000	621848947,5978	133565114,3809	13256270868,3931	13271520375,9635	0,0469	0,0101	0,9989	2,7469	102,1222	8,8716	0,8629	34,7449	4,7622	64,7276
4,1000	628804880,2799	135244609,2545	13255688769,2330	13271283714,4177	0,0474	0,0102	0,9988	2,7779	102,1384	8,8713	0,8629	34,7249	4,7622	64,6876
4,2000	635759955,7785	136923901,9632	13255102888,5406	13271047112,4964	0,0479	0,0103	0,9988	2,8089	102,1542	8,8710	0,8628	34,7047	4,7622	64,6473
4,3000	642714152,9073	138602987,3916	13254513228,1006	13270810569,9823	0,0484	0,0104	0,9988	2,8398	102,1696	8,8707	0,8627	34,6844	4,7623	64,6065
4,4000	649667450,4826	140281860,4251	13253919789,7091	13270574086,6258	0,0490	0,0106	0,9987	2,8708	102,1847	8,8704	0,8626	34,6639	4,7623	64,5655
4,5000	656619827,3235	141960515,9493	13253322575,1739	13270337662,1447	0,0495	0,0107	0,9987	2,9018	102,1995	8,8701	0,8625	34,6432	4,7624	64,5241
4,6000	663571262,2517	143638948,8508	13252721586,3141	13270101296,2249	0,0500	0,0108	0,9987	2,9327	102,2140	8,8697	0,8624	34,6224	4,7624	64,4823
4,7000	670521734,0921	145317154,0170	13252116824,9606	13269864988,5198	0,0505	0,0110	0,9987	2,9637	102,2282	8,8694	0,8624	34,6013	4,7625	64,4402
4,8000	677471221,6723	146995126,3355	13251508292,9555	13269628738,6508	0,0511	0,0111	0,9986	2,9946	102,2421	8,8691	0,8623	34,5801	4,7625	64,3978
4,9000	684419703,8228	148672860,6951	13250895992,1524	13269392546,2068	0,0516	0,0112	0,9986	3,0256	102,2557	8,8688	0,8622	34,5588	4,7626	64,3549
5,0000	691367159,3776	150350351,9851	13250279924,4167	13269156410,7447	0,0521	0,0113	0,9986	3,0565	102,2690	8,8685	0,8621	34,5372	4,7626	64,3118
5,1000	698313567,1733	152027595,0955	13249660091,6249	13268920331,7891	0,0526	0,0115	0,9985	3,0875	102,2820	8,8682	0,8620	34,5155	4,7627	64,2683
5,2000	705258906,0501	153704584,9172	13249036495,6651	13268684308,8324	0,0532	0,0116	0,9985	3,1184	102,2948	8,8678	0,8619	34,4936	4,7627	64,2245
5,3000	712203154,8512	155381316,3418	13248409138,4370	13268448341,3348	0,0537	0,0117	0,9985	3,1494	102,3074	8,8675	0,8618	34,4715	4,7628	64,1803
5,4000	719146292,4232	157057784,2616	13247778021,8515	13268212428,7244	0,0542	0,0118	0,9985	3,1803	102,3197	8,8672	0,8617	34,4493	4,7629	64,1358
5,5000	726088297,6162	158733983,5698	13247143147,8312	13267976570,3971	0,0547	0,0120	0,9984	3,2112	102,3317	8,8669	0,8617	34,4269	4,7629	64,0909
5,6000	733029149,2836	160409909,1606	13246504518,3100	13267740765,7168	0,0552	0,0121	0,9984	3,2422	102,3435	8,8666	0,8616	34,4044	4,7630	64,0457
5,7000	739968826,2824	162085555,9286	13245862135,2333	13267505014,0152	0,0558	0,0122	0,9984	3,2731	102,3551	8,8663	0,8615	34,3816	4,7631	64,0002
5,8000	746907307,4730	163760918,7696	13245216000,5579	13267269314,5917	0,0563	0,0123	0,9983	3,3040	102,3665	8,8660	0,8614	34,3587	4,7631	63,9543
5,9000	753844571,7197	165435992,5801	13244566116,2519	13267033666,7139	0,0568	0,0125	0,9983	3,3350	102,3777	8,8656	0,8613	34,3357	4,7632	63,9082
6,0000	760780597,8903	167110772,2576	13243912484,2952	13266798069,6173	0,0573	0,0126	0,9983	3,3659	102,3887	8,8653	0,8612	34,3125	4,7633	63,8616
6,1000	767715364,8566	168785252,7004	13243255106,6787	13266562522,5051	0,0579	0,0127	0,9982	3,3968	102,3994	8,8650	0,8611	34,2891	4,7634	63,8148
6,2000	774648851,4941	170459428,8077	13242593985,4049	13266327024,5488	0,0584	0,0128	0,9982	3,4277	102,4100	8,8647	0,8610	34,2655	4,7634	63,7676
6,3000	781581036,6820	172133295,4797	13241929122,4878	13266091574,8876	0,0589	0,0130	0,9982	3,4586	102,4204	8,8644	0,8609	34,2418	4,7635	63,7201
6,4000	788511899,3038	173806847,6176	13241260519,9526	13265856172,6290	0,0594	0,0131	0,9981	3,4895	102,4306	8,8641	0,8608	34,2180	4,7636	63,6723
6,5000	795441418,2469	175480080,1234	13240588179,8361	13265620816,8482	0,0600	0,0132	0,9981	3,5204	102,4406	8,8638	0,8607	34,1939	4,7637	63,6242
6,6000	802369572,4028	177152987,9001	13239912104,1861	13265385506,5887	0,0605	0,0134	0,9981	3,5513	102,4504	8,8634	0,8606	34,1697	4,7638	63,5757
6,7000	809296340,6670	178825565,8517	13239232295,0623	13265150240,8620	0,0610	0,0135	0,9980	3,5822	102,4601	8,8631	0,8605	34,1454	4,7639	63,5269
6,8000	816221701,9395	180497808,8834	13238548754,5354	13264915018,6475	0,0615	0,0136	0,9980	3,6131	102,4696	8,8628	0,8604	34,1209	4,7640	63,4778
6,9000	823145635,1245	182169711,9012	13237861484,6876	13264679838,8930	0,0621	0,0137	0,9980	3,6440	102,4789	8,8625	0,8603	34,0962	4,7641	63,4284
7,0000	830068119,1303	183841269,8120	13237170487,6125	13264444700,5143	0,0626	0,0139	0,9979	3,6749	102,4881	8,8622	0,8602	34,0714	4,7642	63,3787
