
gamma	ort_gel_X	ort_gel_Y	ort_gel_Z	normort_gel	vnesh_ort_X	vnesh_ort_Y	vnesh_ort_Z	i_gelio	Omega_gelio	p_gelio	e_gelio	a_gelio	r_pi_gelio	r_a_gelio
36,1000	2697886876,6351	635060152,6402	12889743130,9249	13184360924,1335	0,2046	0,0482	0,9777	12,1353	103,2458	8,7555	0,7943	23,7262	4,8795	42,5729
36,2000	2703521639,5038	636422115,4515	12888098392,2273	13183972941,8728	0,2051	0,0483	0,9776	12,1614	103,2465	8,7550	0,7940	23,6898	4,8802	42,4995
36,3000	2709149225,2421	637782349,4243	12886450991,7414	13183583542,1337	0,2055	0,0484	0,9775	12,1875	103,2472	8,7545	0,7937	23,6535	4,8808	42,4262
36,4000	2714769616,7072	639140850,4152	12884800934,4854	13183192717,2359	0,2059	0,0485	0,9774	12,2136	103,2479	8,7539	0,7933	23,6172	4,8814	42,3531
36,5000	2720382796,7786	640497614,2859	12883148225,4858	13182800459,4908	0,2064	0,0486	0,9773	12,2396	103,2487	8,7534	0,7930	23,5810	4,8821	42,2799
36,6000	2725988748,3574	641852636,9035	12881492869,7769	13182406761,2020	0,2068	0,0487	0,9772	12,2657	103,2494	8,7529	0,7926	23,5448	4,8827	42,2069
36,7000	2731587454,3671	643205914,1403	12879834872,4012	13182011614,6650	0,2072	0,0488	0,9771	12,2917	103,2500	8,7524	0,7923	23,5087	4,8834	42,1340
36,8000	2737178897,7528	644557441,8741	12878174238,4094	13181615012,1679	0,2077	0,0489	0,9770	12,3176	103,2507	8,7518	0,7919	23,4726	4,8840	42,0611
36,9000	2742763061,4823	645907215,9878	12876510972,8599	13181216945,9909	0,2081	0,0490	0,9769	12,3436	103,2514	8,7513	0,7916	23,4365	4,8847	41,9883
37,0000	2748339928,5450	647255232,3698	12874845080,8195	13180817408,4070	0,2085	0,0491	0,9768	12,3695	103,2521	8,7508	0,7912	23,4005	4,8854	41,9157
37,1000	2753909481,9530	648601486,9138	12873176567,3625	13180416391,6816	0,2089	0,0492	0,9767	12,3954	103,2528	8,7503	0,7909	23,3645	4,8860	41,8431
37,2000	2759471704,7403	649945975,5189	12871505437,5718	13180013888,0730	0,2094	0,0493	0,9766	12,4212	103,2535	8,7497	0,7905	23,3286	4,8867	41,7705
37,3000	2765026579,9636	651288694,0895	12869831696,5378	13179609889,8322	0,2098	0,0494	0,9765	12,4470	103,2541	8,7492	0,7902	23,2927	4,8873	41,6981
37,4000	2770574090,7016	652629638,5355	12868155349,3589	13179204389,2033	0,2102	0,0495	0,9764	12,4728	103,2548	8,7486	0,7898	23,2569	4,8880	41,6257
37,5000	2776114220,0557	653968804,7722	12866476401,1417	13178797378,4237	0,2107	0,0496	0,9763	12,4986	103,2555	8,7481	0,7895	23,2211	4,8886	41,5535
37,6000	2781646951,1498	655306188,7201	12864794857,0006	13178388849,7238	0,2111	0,0497	0,9762	12,5244	103,2562	8,7476	0,7891	23,1853	4,8893	41,4813
37,7000	2787172267,1300	656641786,3055	12863110722,0577	13177978795,3274	0,2115	0,0498	0,9761	12,5501	103,2568	8,7470	0,7888	23,1496	4,8900	41,4092
37,8000	2792690151,1655	657975593,4597	12861424001,4433	13177567207,4518	0,2119	0,0499	0,9760	12,5758	103,2575	8,7465	0,7884	23,1139	4,8906	41,3372
37,9000	2798200586,4477	659307606,1199	12859734700,2955	13177154078,3079	0,2124	0,0500	0,9759	12,6014	103,2581	8,7459	0,7881	23,0783	4,8913	41,2653
38,0000	2803703556,1909	660637820,2285	12858042823,7600	13176739400,1004	0,2128	0,0501	0,9758	12,6270	103,2588	8,7454	0,7877	23,0427	4,8920	41,1935
38,1000	2809199043,6321	661966231,7334	12856348376,9907	13176323165,0279	0,2132	0,0502	0,9757	12,6526	103,2594	8,7448	0,7873	23,0072	4,8926	41,1217
38,2000	2814687032,0311	663292836,5881	12854651365,1491	13175905365,2826	0,2136	0,0503	0,9756	12,6782	103,2601	8,7443	0,7870	22,9717	4,8933	41,0501
38,3000	2820167504,6705	664617630,7514	12852951793,4047	13175485993,0513	0,2140	0,0504	0,9755	12,7038	103,2607	8,7437	0,7866	22,9363	4,8940	40,9785
38,4000	2825640444,8559	665940610,1878	12851249666,9346	13175065040,5146	0,2145	0,0505	0,9754	12,7293	103,2613	8,7432	0,7863	22,9009	4,8946	40,9071
38,5000	2831105835,9158	667261770,8674	12849544990,9238	13174642499,8476	0,2149	0,0506	0,9753	12,7548	103,2620	8,7426	0,7859	22,8655	4,8953	40,8357
38,6000	2836563661,2015	668581108,7656	12847837770,5650	13174218363,2200	0,2153	0,0507	0,9752	12,7802	103,2626	8,7420	0,7855	22,8302	4,8960	40,7644
38,7000	2842013904,0876	669898619,8635	12846128011,0587	13173792622,7959	0,2157	0,0509	0,9751	12,8056	103,2632	8,7415	0,7852	22,7949	4,8967	40,6932
38,8000	2847456547,9718	671214300,1477	12844415717,6132	13173365270,7340	0,2162	0,0510	0,9750	12,8310	103,2639	8,7409	0,7848	22,7597	4,8973	40,6221
38,9000	2852891576,2749	672528145,6104	12842700895,4444	13172936299,1881	0,2166	0,0511	0,9749	12,8564	103,2645	8,7403	0,7845	22,7246	4,8980	40,5511
39,0000	2858318972,4406	673840152,2494	12840983549,7760	13172505700,3068	0,2170	0,0512	0,9748	12,8817	103,2651	8,7398	0,7841	22,6894	4,8987	40,4802
39,1000	2863738719,9364	675150316,0682	12839263685,8392	13172073466,2337	0,2174	0,0513	0,9747	12,9071	103,2657	8,7392	0,7837	22,6544	4,8994	40,4094
39,2000	2869150802,2526	676458633,0757	12837541308,8730	13171639589,1077	0,2178	0,0514	0,9746	12,9323	103,2663	8,7386	0,7834	22,6193	4,9001	40,3386
39,3000	2874555202,9031	677765099,2867	12835816424,1242	13171204061,0631	0,2182	0,0515	0,9745	12,9576	103,2669	8,7380	0,7830	22,5844	4,9007	40,2680
39,4000	2879951905,4253	679069710,7212	12834089036,8470	13170766874,2294	0,2187	0,0516	0,9744	12,9828	103,2675	8,7375	0,7826	22,5494	4,9014	40,1974
39,5000	2885340893,3798	680372463,4054	12832359152,3034	13170328020,7319	0,2191	0,0517	0,9743	13,0080	103,2682	8,7369	0,7823	22,5145	4,9021	40,1270
39,6000	2890722150,3508	681673353,3707	12830626775,7629	13169887492,6913	0,2195	0,0518	0,9742	13,0332	103,2688	8,7363	0,7819	22,4797	4,9028	40,0566
39,7000	2896095659,9460	682972376,6545	12828891912,5026	13169445282,2245	0,2199	0,0519	0,9741	13,0583	103,2693	8,7357	0,7815	22,4449	4,9035	39,9864
39,8000	2901461405,7969	684269529,2996	12827154567,8071	13169001381,4439	0,2203	0,0520	0,9740	13,0834	103,2699	8,7351	0,7812	22,4102	4,9042	39,9162
39,9000	2906819371,5585	685564807,3548	12825414746,9688	13168555782,4583	0,2207	0,0521	0,9739	13,1085	103,2705	8,7345	0,7808	22,3755	4,9048	39,8461
40,0000	2912169540,9093	686858206,8744	12823672455,2875	13168108477,3725	0,2212	0,0522	0,9738	13,1335	103,2711	8,7339	0,7804	22,3408	4,9055	39,7762
40,1000	2917511897,5520	688149723,9185	12821927698,0704	13167659458,2876	0,2216	0,0523	0,9737	13,1585	103,2717	8,7333	0,7801	22,3063	4,9062	39,7063
40,2000	2922846425,2128	689439354,5529	12820180480,6324	13167208717,3012	0,2220	0,0524	0,9736	13,1835	103,2723	8,7327	0,7797	22,2717	4,9069	39,6365
40,3000	2928173107,6417	690727094,8491	12818430808,2958	13166756246,5074	0,2224	0,0525	0,9735	13,2085	103,2729	8,7321	0,7793	22,2372	4,9076	39,5668
40,4000	2933491928,6127	692012940,8845	12816678686,3905	13166302037,9970	0,2228	0,0526	0,9734	13,2334	103,2734	8,7315	0,7789	22,2028	4,9083	39,4972
40,5000	2938802871,9239	693296888,7421	12814924120,2536	13165846083,8575	0,2232	0,0527	0,9733	13,2583	103,2740	8,7309	0,7786	22,1684	4,9090	39,4277
40,6000	2944105921,3972	694578934,5109	12813167115,2300	13165388376,1735	0,2236	0,0528	0,9732	13,2832	103,2746	8,7303	0,7782	22,1340	4,9097	39,3583
40,7000	2949401060,8784	695859074,2855	12811407676,6717	13164928907,0264	0,2240	0,0529	0,9731	13,3080	103,2752	8,7297	0,7778	22,0997	4,9104	39,2890
40,8000	2954688274,2379	697137304,1664	12809645809,9384	13164467668,4950	0,2244	0,0530	0,9730	13,3328	103,2757	8,7291	0,7774	22,0655	4,9111	39,2198
40,9000	2959967545,3697	698413620,2598	12807881520,3969	13164004652,6553	0,2249	0,0531	0,9729	13,3576	103,2763	8,7285	0,7771	22,0313	4,9118	39,1508
41,0000	2965238858,1922	699688018,6779	12806114813,4216	13163539851,5806	0,2253	0,0532	0,9728	13,3823	103,2769	8,7279	0,7767	21,9971	4,9125	39,0817
41,1000	2970502196,6483	700960495,5386	12804345694,3941	13163073257,3418	0,2257	0,0533	0,9727	13,4070	103,2774	8,7272	0,7763	21,9630	4,9132	39,0128
41,2000	2975757544,7047	702231046,9659	12802574168,7036	13162604862,0077	0,2261	0,0534	0,9726	13,4317	103,2780	8,7266	0,7759	21,9290	4,9139	38,9440
41,3000	2981004886,3529	703499669,0892	12800800241,7465	13162134657,6444	0,2265	0,0534	0,9725	13,4564	103,2785	8,7260	0,7755	21,8950	4,9146	38,8753
41,4000	2986244205,6085	704766358,0443	12799023918,9263	13161662636,3164	0,2269	0,0535	0,9724	13,4810	103,2791	8,7254	0,7752	21,8610	4,9153	38,8067
41,5000	2991475486,5116	706031109,9725	12797245205,6541	13161188790,0860	0,2273	0,0536	0,9723	13,5056	103,2796	8,7247	0,7748	21,8271	4,9160	38,7382
41,6000	2996698713,1268	707293921,0212	12795464107,3481	13160713111,0135	0,2277	0,0537	0,9722	13,5301	103,2802	8,7241	0,7744	21,7933	4,9167	38,6698
41,7000	3001913869,5434	708554787,3436	12793680629,4339	13160235591,1578	0,2281	0,0538	0,9721	13,5547	103,2807	8,7235	0,7740	21,7595	4,9174	38,6015
41,8000	3007120939,8749	709813705,0989	12791894777,3443	13159756222,5761	0,2285	0,0539	0,9720	13,5792	103,2812	8,7228	0,7736	21,7257	4,9181	38,5333
41,9000	3012319908,2598	711070670,4524	12790106556,5193	13159274997,3239	0,2289	0,0540	0,9719	13,6036	103,2818	8,7222	0,7732	21,6920	4,9188	38,4652
42,0000	3017510758,8612	712325679,5749	12788315972,4061	13158791907,4557	0,2293	0,0541	0,9718	13,6281	103,2823	8,7216	0,7729	21,6584	4,9195	38,3972
42,1000	3022693475,8667	713578728,6435	12786523030,4591	13158306945,0245	0,2297	0,0542	0,9717	13,6525	103,2828	8,7209	0,7725	21,6248	4,9202	38,3293
42,2000	3027868043,4889	714829813,8413	12784727736,1400	13157820102,0825	0,2301	0,0543	0,9716	13,6768	103,2834	8,7203	0,7721	21,5912	4,9209	38,2615
42,3000	3033034445,9653	716078931,3573	12782930094,9175	13157331370,6805	0,2305	0,0544	0,9715	13,7012	103,2839	8,7196	0,7717	21,5577	4,9216	38,1938
42,4000	3038192667,5580	717326077,3862	12781130112,2676	13156840742,8689	0,2309	0,0545	0,9714	13,7255	103,2844	8,7190	0,7713	21,5243	4,9223	38,1263
42,5000	3043342692,5542	718571248,1293	12779327793,6733	13156348210,6971	0,2313	0,0546	0,9713	13,7498	103,2849	8,7183	0,7709	21,4909	4,9230	38,0588
42,6000	3048484505,2660	719814439,7934	12777523144,6248	13155853766,2139	0,2317	0,0547	0,9712	13,7740	103,2855	8,7177	0,7705	21,4576	4,9238	37,9914
42,7000	3053618090,0306	721055648,5916	12775716170,6194	13155357401,4678	0,2321	0,0548	0,9711	13,7982	103,2860	8,7170	0,7701	21,4243	4,9245	37,9241
42,8000	3058743431,2102	722294870,7429	12773906877,1614	13154859108,5068	0,2325	0,0549	0,9710	13,8224	103,2865	8,7164	0,7698	21,3910	4,9252	37,8569
42,9000	3063860513,1921	723532102,4725	12772095269,7623	13154358879,3787	0,2329	0,0550	0,9709	13,8466	103,2870	8,7157	0,7694	21,3579	4,9259	37,7898
43,0000	3068969320,3888	724767340,0115	12770281353,9404	13153856706,1312	0,2333	0,0551	0,9708	13,8707	103,2875	8,7150	0,7690	21,3247	4,9266	37,7229
43,1000	3074069837,2380	726000579,5972	12768465135,2214	13153352580,8121	0,2337	0,0552	0,9707	13,8948	103,2880	8,7144	0,7686	21,2917	4,9273	37,6560
43,2000	3079162048,2026	727231817,4729	12766646619,1377	13152846495,4692	0,2341	0,0553	0,9706	13,9188	103,2885	8,7137	0,7682	21,2586	4,9280	37,5892
43,3000	3084245937,7709	728461049,8880	12764825811,2289	13152338442,1507	0,2345	0,0554	0,9705	13,9428	103,2890	8,7130	0,7678	21,2257	4,9288	37,5226
43,4000	3089321490,4564	729688273,0982	12763002717,0414	13151828412,9052	0,2349	0,0555	0,9704	13,9668	103,2895	8,7123	0,7674	21,1927	4,9295	37,4560
43,5000	3094388690,7982	730913483,3650	12761177342,1287	13151316399,7816	0,2353	0,0556	0,9703	13,9908	103,2900	8,7117	0,7670	21,1599	4,9302	37,3895
43,6000	3099447523,3607	732136676,9563	12759349692,0513	13150802394,8298	0,2357	0,0557	0,9702	14,0147	103,2905	8,7110	0,7666	21,1271	4,9309	37,3232
43,7000	3104497972,7337	733357850,1460	12757519772,3764	13150286390,1001	0,2361	0,0558	0,9701	14,0386	103,2910	8,7103	0,7662	21,0943	4,9316	37,2570
43,8000	3109540023,5328	734576999,2142	12755687588,6783	13149768377,6441	0,2365	0,0559	0,9700	14,0625	103,2915	8,7096	0,7658	21,0616	4,9324	37,1908
43,9000	3114573660,3990	735794120,4472	12753853146,5382	13149248349,5140	0,2369	0,0560	0,9699	14,0863	103,2920	8,7089	0,7654	21,0289	4,9331	37,1248
44,0000	3119598867,9989	737009210,1374	12752016451,5440	13148726297,7635	0,2373	0,0561	0,9698	14,1101	103,2925	8,7082	0,7650	20,9963	4,9338	37,0589
44,1000	3124615631,0249	738222264,5833	12750177509,2908	13148202214,4473	0,2376	0,0561	0,9697	14,1339	103,2930	8,7075	0,7646	20,9638	4,9345	36,9930
44,2000	3129623934,1951	739433280,0900	12748336325,3801	13147676091,6216	0,2380	0,0562	0,9696	14,1576	103,2934	8,7068	0,7642	20,9313	4,9352	36,9273
44,3000	3134623762,2533	740642252,9683	12746492905,4207	13147147921,3442	0,2384	0,0563	0,9695	14,1813	103,2939	8,7061	0,7638	20,8988	4,9360	36,8617
44,4000	3139615099,9692	741849179,5356	12744647255,0278	13146617695,6744	0,2388	0,0564	0,9694	14,2050	103,2944	8,7054	0,7634	20,8664	4,9367	36,7962
44,5000	3144597932,1382	743054056,1153	12742799379,8236	13146085406,6734	0,2392	0,0565	0,9693	14,2286	103,2949	8,7047	0,7630	20,8341	4,9374	36,7308
44,6000	3149572243,5819	744256879,0371	12740949285,4371	13145551046,4041	0,2396	0,0566	0,9692	14,2522	103,2953	8,7040	0,7626	20,8018	4,9381	36,6655
44,7000	3154538019,1475	745457644,6372	12739096977,5040	13145014606,9317	0,2400	0,0567	0,9691	14,2758	103,2958	8,7033	0,7622	20,7696	4,9389	36,6003
44,8000	3159495243,7086	746656349,2577	12737242461,6668	13144476080,3233	0,2404	0,0568	0,9690	14,2993	103,2963	8,7026	0,7618	20,7374	4,9396	36,5352
44,9000	3164443902,1644	747852989,2471	12735385743,5745	13143935458,6483	0,2408	0,0569	0,9689	14,3228	103,2967	8,7019	0,7614	20,7053	4,9403	36,4702
45,0000	3169383979,4407	749047560,9603	12733526828,8832	13143392733,9787	0,2411	0,0570	0,9688	14,3463	103,2972	8,7012	0,7610	20,6732	4,9411	36,4054
45,1000	3174315460,4889	750240060,7585	12731665723,2553	13142847898,3887	0,2415	0,0571	0,9687	14,3697	103,2977	8,7004	0,7606	20,6412	4,9418	36,3406
45,2000	3179238330,2870	751430485,0090	12729802432,3602	13142300943,9553	0,2419	0,0572	0,9686	14,3931	103,2981	8,6997	0,7602	20,6092	4,9425	36,2760
45,3000	3184152573,8391	752618830,0856	12727936961,8736	13141751862,7584	0,2423	0,0573	0,9685	14,4165	103,2986	8,6990	0,7598	20,5773	4,9433	36,2114
45,4000	3189058176,1754	753805092,3684	12726069317,4783	13141200646,8806	0,2427	0,0574	0,9684	14,4399	103,2990	8,6983	0,7594	20,5455	4,9440	36,1470
45,5000	3193955122,3528	754989268,2439	12724199504,8633	13140647288,4075	0,2431	0,0575	0,9683	14,4632	103,2995	8,6975	0,7590	20,5137	4,9447	36,0826
45,6000	3198843397,4542	756171354,1049	12722327529,7245	13140091779,4280	0,2434	0,0575	0,9682	14,4864	103,2999	8,6968	0,7585	20,4819	4,9454	36,0184
45,7000	3203722986,5892	757351346,3504	12720453397,7641	13139534112,0341	0,2438	0,0576	0,9681	14,5097	103,3004	8,6961	0,7581	20,4502	4,9462	35,9543
45,8000	3208593874,8936	758529241,3861	12718577114,6912	13138974278,3213	0,2442	0,0577	0,9680	14,5329	103,3008	8,6953	0,7577	20,4186	4,9469	35,8903
45,9000	3213456047,5298	759705035,6239	12716698686,2211	13138412270,3885	0,2446	0,0578	0,9679	14,5560	103,3013	8,6946	0,7573	20,3870	4,9477	35,8264
46,0000	3218309489,6870	760878725,4821	12714818118,0760	13137848080,3385	0,2450	0,0579	0,9678	14,5792	103,3017	8,6938	0,7569	20,3555	4,9484	35,7626
46,1000	3223154186,5805	762050307,3854	12712935415,9843	13137281700,2775	0,2453	0,0580	0,9677	14,6023	103,3022	8,6931	0,7565	20,3240	4,9491	35,6989
46,2000	3227990123,4527	763219777,7650	12711050585,6811	13136713122,3158	0,2457	0,0581	0,9676	14,6254	103,3026	8,6923	0,7561	20,2926	4,9499	35,6353
46,3000	3232817285,5724	764387133,0585	12709163632,9079	13136142338,5677	0,2461	0,0582	0,9675	14,6484	103,3030	8,6916	0,7557	20,2612	4,9506	35,5718
46,4000	3237635658,2353	765552369,7099	12707274563,4127	13135569341,1516	0,2465	0,0583	0,9674	14,6714	103,3035	8,6908	0,7552	20,2299	4,9513	35,5085
46,5000	3242445226,7637	766715484,1698	12705383382,9500	13134994122,1902	0,2469	0,0584	0,9673	14,6944	103,3039	8,6901	0,7548	20,1986	4,9521	35,4452
46,6000	3247245976,5070	767876472,8950	12703490097,2805	13134416673,8105	0,2472	0,0585	0,9672	14,7173	103,3043	8,6893	0,7544	20,1674	4,9528	35,3821
46,7000	3252037892,8411	769035332,3490	12701594712,1716	13133836988,1441	0,2476	0,0586	0,9671	14,7402	103,3048	8,6885	0,7540	20,1363	4,9535	35,3190
46,8000	3256820961,1691	770192059,0016	12699697233,3970	13133255057,3272	0,2480	0,0586	0,9670	14,7631	103,3052	8,6878	0,7536	20,1052	4,9543	35,2561
46,9000	3261595166,9208	771346649,3294	12697797666,7366	13132670873,5008	0,2484	0,0587	0,9669	14,7859	103,3056	8,6870	0,7532	20,0742	4,9550	35,1933
47,0000	3266360495,5534	772499099,8153	12695896017,9770	13132084428,8107	0,2487	0,0588	0,9668	14,8087	103,3061	8,6862	0,7527	20,0432	4,9558	35,1306
47,1000	3271116932,5506	773649406,9486	12693992292,9108	13131495715,4077	0,2491	0,0589	0,9667	14,8315	103,3065	8,6854	0,7523	20,0122	4,9565	35,0680
47,2000	3275864463,4237	774797567,2253	12692086497,3371	13130904725,4478	0,2495	0,0590	0,9666	14,8542	103,3069	8,6846	0,7519	19,9814	4,9573	35,0055
47,3000	3280603073,7107	775943577,1480	12690178637,0614	13130311451,0923	0,2498	0,0591	0,9665	14,8769	103,3073	8,6839	0,7515	19,9505	4,9580	34,9431
47,4000	3285332748,9771	777087433,2256	12688268717,8952	13129715884,5078	0,2502	0,0592	0,9664	14,8996	103,3077	8,6831	0,7511	19,9198	4,9587	34,8808
47,5000	3290053474,8155	778229131,9739	12686356745,6566	13129118017,8664	0,2506	0,0593	0,9663	14,9222	103,3081	8,6823	0,7506	19,8891	4,9595	34,8186
47,6000	3294765236,8457	779368669,9149	12684442726,1697	13128517843,3458	0,2510	0,0594	0,9662	14,9448	103,3086	8,6815	0,7502	19,8584	4,9602	34,7566
47,7000	3299468020,7148	780506043,5775	12682526665,2649	13127915353,1296	0,2513	0,0595	0,9661	14,9673	103,3090	8,6807	0,7498	19,8278	4,9610	34,6946
47,8000	3304161812,0974	781641249,4970	12680608568,7790	13127310539,4071	0,2517	0,0595	0,9660	14,9899	103,3094	8,6799	0,7494	19,7973	4,9617	34,6328
47,9000	3308846596,6954	782774284,2155	12678688442,5548	13126703394,3738	0,2521	0,0596	0,9659	15,0124	103,3098	8,6791	0,7489	19,7668	4,9625	34,5711
48,0000	3313522360,2381	783905144,2814	12676766292,4412	13126093910,2310	0,2524	0,0597	0,9658	15,0348	103,3102	8,6783	0,7485	19,7363	4,9632	34,5094
48,1000	3318189088,4822	785033826,2499	12674842124,2936	13125482079,1865	0,2528	0,0598	0,9657	15,0572	103,3106	8,6775	0,7481	19,7059	4,9639	34,4479
48,2000	3322846767,2123	786160326,6830	12672915943,9733	13124867893,4546	0,2532	0,0599	0,9656	15,0796	103,3110	8,6767	0,7477	19,6756	4,9647	34,3865
48,3000	3327495382,2400	787284642,1491	12670987757,3477	13124251345,2557	0,2535	0,0600	0,9655	15,1020	103,3114	8,6758	0,7472	19,6453	4,9654	34,3252
48,4000	3332134919,4051	788406769,2233	12669057570,2904	13123632426,8172	0,2539	0,0601	0,9654	15,1243	103,3118	8,6750	0,7468	19,6151	4,9662	34,2641
48,5000	3336765364,5745	789526704,4875	12667125388,6811	13123011130,3730	0,2543	0,0602	0,9653	15,1466	103,3122	8,6742	0,7464	19,5850	4,9669	34,2030
48,6000	3341386703,6433	790644444,5301	12665191218,4057	13122387448,1639	0,2546	0,0603	0,9652	15,1688	103,3126	8,6734	0,7460	19,5548	4,9677	34,1420
48,7000	3345998922,5339	791759985,9463	12663255065,3558	13121761372,4379	0,2550	0,0603	0,9651	15,1910	103,3130	8,6726	0,7455	19,5248	4,9684	34,0812
48,8000	3350602007,1968	792873325,3380	12661316935,4294	13121132895,4498	0,2554	0,0604	0,9650	15,2132	103,3134	8,6717	0,7451	19,4948	4,9692	34,0204
48,9000	3355195943,6102	793984459,3137	12659376834,5303	13120502009,4618	0,2557	0,0605	0,9649	15,2353	103,3137	8,6709	0,7447	19,4649	4,9699	33,9598
49,0000	3359780717,7802	795093384,4887	12657434768,5684	13119868706,7436	0,2561	0,0606	0,9648	15,2574	103,3141	8,6700	0,7442	19,4350	4,9707	33,8993
49,1000	3364356315,7406	796200097,4851	12655490743,4596	13119232979,5721	0,2564	0,0607	0,9647	15,2795	103,3145	8,6692	0,7438	19,4051	4,9714	33,8388
49,2000	3368922723,5536	797304594,9316	12653544765,1258	13118594820,2320	0,2568	0,0608	0,9646	15,3015	103,3149	8,6684	0,7434	19,3753	4,9722	33,7785
49,3000	3373479927,3089	798406873,4637	12651596839,4946	13117954221,0156	0,2572	0,0609	0,9644	15,3235	103,3153	8,6675	0,7429	19,3456	4,9729	33,7183
49,4000	3378027913,1246	799506929,7237	12649646972,4999	13117311174,2232	0,2575	0,0610	0,9643	15,3455	103,3157	8,6667	0,7425	19,3160	4,9737	33,6582
49,5000	3382566667,1467	800604760,3607	12647695170,0813	13116665672,1631	0,2579	0,0610	0,9642	15,3674	103,3160	8,6658	0,7421	19,2863	4,9744	33,5983
49,6000	3387096175,5494	801700362,0304	12645741438,1843	13116017707,1515	0,2582	0,0611	0,9641	15,3893	103,3164	8,6650	0,7416	19,2568	4,9752	33,5384
49,7000	3391616424,5350	802793731,3955	12643785782,7602	13115367271,5129	0,2586	0,0612	0,9640	15,4112	103,3168	8,6641	0,7412	19,2273	4,9759	33,4786
49,8000	3396127400,3340	803884865,1253	12641828209,7664	13114714357,5803	0,2590	0,0613	0,9639	15,4330	103,3172	8,6632	0,7408	19,1978	4,9767	33,4190
49,9000	3400629089,2053	804973759,8961	12639868725,1660	13114058957,6950	0,2593	0,0614	0,9638	15,4548	103,3175	8,6624	0,7403	19,1684	4,9774	33,3595
50,0000	3405121477,4359	806060412,3909	12637907334,9280	13113401064,2070	0,2597	0,0615	0,9637	15,4765	103,3179	8,6615	0,7399	19,1391	4,9782	33,3000
50,1000	3409604551,3411	807144819,2996	12635944045,0269	13112740669,4748	0,2600	0,0616	0,9636	15,4982	103,3183	8,6606	0,7395	19,1098	4,9789	33,2407
50,2000	3414078297,2649	808226977,3189	12633978861,4434	13112077765,8661	0,2604	0,0616	0,9635	15,5199	103,3186	8,6598	0,7390	19,0806	4,9797	33,1815
50,3000	3418542701,5794	809306883,1524	12632011790,1637	13111412345,7572	0,2607	0,0617	0,9634	15,5416	103,3190	8,6589	0,7386	19,0514	4,9804	33,1224
50,4000	3422997750,6852	810384533,5104	12630042837,1800	13110744401,5338	0,2611	0,0618	0,9633	15,5632	103,3194	8,6580	0,7381	19,0223	4,9812	33,0634
50,5000	3427443431,0115	811459925,1103	12628072008,4899	13110073925,5906	0,2614	0,0619	0,9632	15,5847	103,3197	8,6571	0,7377	18,9932	4,9819	33,0045
50,6000	3431879729,0160	812533054,6762	12626099310,0969	13109400910,3316	0,2618	0,0620	0,9631	15,6063	103,3201	8,6562	0,7373	18,9642	4,9827	32,9458
50,7000	3436306631,1849	813603918,9393	12624124748,0103	13108725348,1704	0,2621	0,0621	0,9630	15,6277	103,3205	8,6553	0,7368	18,9353	4,9834	32,8871
50,8000	3440724124,0332	814672514,6373	12622148328,2449	13108047231,5301	0,2625	0,0622	0,9629	15,6492	103,3208	8,6544	0,7364	18,9064	4,9842	32,8285
50,9000	3445132194,1043	815738838,5153	12620170056,8212	13107366552,8436	0,2628	0,0622	0,9628	15,6706	103,3212	8,6535	0,7359	18,8775	4,9849	32,7701
51,0000	3449530827,9705	816802887,3251	12618189939,7653	13106683304,5533	0,2632	0,0623	0,9627	15,6920	103,3215	8,6526	0,7355	18,8487	4,9857	32,7118
51,1000	3453920012,2329	817864657,8253	12616207983,1091	13105997479,1119	0,2635	0,0624	0,9626	15,7134	103,3219	8,6517	0,7350	18,8200	4,9865	32,6536
51,2000	3458299733,5212	818924146,7815	12614224192,8899	13105309068,9821	0,2639	0,0625	0,9625	15,7347	103,3222	8,6508	0,7346	18,7913	4,9872	32,5954
51,3000	3462669978,4940	819981350,9665	12612238575,1507	13104618066,6365	0,2642	0,0626	0,9624	15,7560	103,3226	8,6499	0,7342	18,7627	4,9880	32,5374
51,4000	3467030733,8388	821036267,1598	12610251135,9401	13103924464,5584	0,2646	0,0627	0,9623	15,7772	103,3229	8,6490	0,7337	18,7341	4,9887	32,4795
51,5000	3471381986,2721	822088892,1480	12608261881,3120	13103228255,2413	0,2649	0,0627	0,9622	15,7984	103,3233	8,6481	0,7333	18,7056	4,9895	32,4218
51,6000	3475723722,5390	823139222,7245	12606270817,3262	13102529431,1891	0,2653	0,0628	0,9621	15,8196	103,3236	8,6471	0,7328	18,6772	4,9902	32,3641
51,7000	3480055929,4139	824187255,6898	12604277950,0477	13101827984,9169	0,2656	0,0629	0,9620	15,8407	103,3240	8,6462	0,7324	18,6488	4,9910	32,3065
51,8000	3484378593,7002	825232987,8516	12602283285,5473	13101123908,9499	0,2660	0,0630	0,9619	15,8618	103,3243	8,6453	0,7319	18,6204	4,9917	32,2491
51,9000	3488691702,2304	826276416,0242	12600286829,9009	13100417195,8248	0,2663	0,0631	0,9618	15,8828	103,3246	8,6444	0,7315	18,5921	4,9925	32,1917
52,0000	3492995241,8658	827317537,0293	12598288589,1901	13099707838,0890	0,2666	0,0632	0,9617	15,9039	103,3250	8,6434	0,7310	18,5639	4,9932	32,1345
52,1000	3497289199,4972	828356347,6953	12596288569,5019	13098995828,3012	0,2670	0,0632	0,9616	15,9248	103,3253	8,6425	0,7306	18,5357	4,9940	32,0774
