
gamma	V_grav_X_inf	V_grav_Y_inf	V_grav_Z_inf	V_grav_inf	i_gip	ortX	ortY	ortZ	normort	V_grav_gel_X	V_grav_gel_Y	V_grav_gel_Z	V_grav_gel	dV_grav
91,4000	-1,7991	-1,2508	5,4516	5,8754	91,3973	16,2040	-26,6205	-0,7602	31,1737	-14,6638	-3,7065	5,7496	16,1810	8,2973
91,5000	-1,7943	-1,2587	5,4513	5,8754	91,4971	16,2003	-26,6211	-0,8144	31,1737	-14,6590	-3,7144	5,7494	16,1783	8,2947
91,6000	-1,7895	-1,2666	5,4511	5,8754	91,5969	16,1967	-26,6216	-0,8687	31,1737	-14,6542	-3,7223	5,7491	16,1757	8,2920
91,7000	-1,7847	-1,2745	5,4508	5,8754	91,6967	16,1929	-26,6221	-0,9230	31,1737	-14,6494	-3,7302	5,7488	16,1731	8,2894
91,8000	-1,7798	-1,2824	5,4505	5,8754	91,7965	16,1892	-26,6224	-0,9773	31,1737	-14,6446	-3,7381	5,7486	16,1704	8,2868
91,9000	-1,7750	-1,2903	5,4502	5,8754	91,8963	16,1854	-26,6227	-1,0315	31,1737	-14,6398	-3,7460	5,7483	16,1678	8,2841
92,0000	-1,7702	-1,2982	5,4499	5,8754	91,9961	16,1815	-26,6229	-1,0858	31,1737	-14,6350	-3,7539	5,7479	16,1652	8,2815
92,1000	-1,7654	-1,3061	5,4496	5,8754	92,0959	16,1776	-26,6230	-1,1401	31,1737	-14,6302	-3,7618	5,7476	16,1625	8,2789
92,2000	-1,7606	-1,3140	5,4492	5,8754	92,1957	16,1736	-26,6230	-1,1944	31,1737	-14,6254	-3,7698	5,7473	16,1599	8,2762
92,3000	-1,7558	-1,3220	5,4489	5,8754	92,2955	16,1696	-26,6230	-1,2486	31,1737	-14,6205	-3,7777	5,7469	16,1573	8,2736
92,4000	-1,7510	-1,3299	5,4485	5,8754	92,3953	16,1655	-26,6229	-1,3029	31,1737	-14,6157	-3,7856	5,7465	16,1547	8,2710
92,5000	-1,7462	-1,3378	5,4481	5,8754	92,4951	16,1614	-26,6226	-1,3571	31,1737	-14,6109	-3,7935	5,7461	16,1520	8,2684
92,6000	-1,7414	-1,3457	5,4477	5,8754	92,5949	16,1573	-26,6223	-1,4114	31,1737	-14,6061	-3,8014	5,7457	16,1494	8,2657
92,7000	-1,7366	-1,3536	5,4473	5,8754	92,6947	16,1531	-26,6220	-1,4656	31,1737	-14,6013	-3,8093	5,7453	16,1468	8,2631
92,8000	-1,7318	-1,3615	5,4468	5,8754	92,7945	16,1488	-26,6215	-1,5199	31,1737	-14,5965	-3,8172	5,7448	16,1441	8,2605
92,9000	-1,7270	-1,3694	5,4464	5,8754	92,8943	16,1445	-26,6210	-1,5741	31,1737	-14,5918	-3,8251	5,7444	16,1415	8,2578
93,0000	-1,7222	-1,3773	5,4459	5,8754	92,9941	16,1401	-26,6204	-1,6283	31,1737	-14,5870	-3,8330	5,7439	16,1389	8,2552
93,1000	-1,7174	-1,3852	5,4454	5,8754	93,0939	16,1357	-26,6197	-1,6825	31,1737	-14,5822	-3,8409	5,7434	16,1363	8,2526
93,2000	-1,7126	-1,3931	5,4449	5,8754	93,1937	16,1313	-26,6189	-1,7368	31,1737	-14,5774	-3,8488	5,7429	16,1336	8,2500
93,3000	-1,7078	-1,4010	5,4444	5,8754	93,2935	16,1268	-26,6180	-1,7910	31,1737	-14,5726	-3,8567	5,7424	16,1310	8,2473
93,4000	-1,7031	-1,4089	5,4438	5,8754	93,3933	16,1222	-26,6171	-1,8452	31,1737	-14,5678	-3,8647	5,7418	16,1284	8,2447
93,5000	-1,6983	-1,4168	5,4433	5,8754	93,4931	16,1176	-26,6160	-1,8994	31,1737	-14,5630	-3,8726	5,7413	16,1258	8,2421
93,6000	-1,6935	-1,4248	5,4427	5,8754	93,5930	16,1130	-26,6149	-1,9536	31,1737	-14,5582	-3,8805	5,7407	16,1231	8,2395
93,7000	-1,6887	-1,4327	5,4421	5,8754	93,6928	16,1083	-26,6137	-2,0078	31,1737	-14,5534	-3,8884	5,7401	16,1205	8,2368
93,8000	-1,6839	-1,4406	5,4415	5,8754	93,7926	16,1035	-26,6125	-2,0620	31,1737	-14,5486	-3,8963	5,7395	16,1179	8,2342
93,9000	-1,6791	-1,4485	5,4409	5,8754	93,8924	16,0987	-26,6111	-2,1161	31,1737	-14,5439	-3,9042	5,7389	16,1153	8,2316
94,0000	-1,6743	-1,4564	5,4402	5,8754	93,9922	16,0939	-26,6097	-2,1703	31,1737	-14,5391	-3,9121	5,7383	16,1126	8,2290
94,1000	-1,6696	-1,4643	5,4396	5,8754	94,0920	16,0890	-26,6082	-2,2245	31,1737	-14,5343	-3,9200	5,7376	16,1100	8,2263
94,2000	-1,6648	-1,4722	5,4389	5,8754	94,1918	16,0840	-26,6066	-2,2786	31,1737	-14,5295	-3,9279	5,7369	16,1074	8,2237
94,3000	-1,6600	-1,4801	5,4382	5,8754	94,2916	16,0790	-26,6049	-2,3328	31,1737	-14,5247	-3,9358	5,7363	16,1048	8,2211
94,4000	-1,6552	-1,4880	5,4375	5,8754	94,3914	16,0740	-26,6032	-2,3869	31,1737	-14,5200	-3,9437	5,7356	16,1021	8,2185
94,5000	-1,6505	-1,4959	5,4368	5,8754	94,4912	16,0689	-26,6013	-2,4411	31,1737	-14,5152	-3,9516	5,7348	16,0995	8,2158
94,6000	-1,6457	-1,5038	5,4361	5,8754	94,5910	16,0637	-26,5994	-2,4952	31,1737	-14,5104	-3,9595	5,7341	16,0969	8,2132
94,7000	-1,6409	-1,5117	5,4353	5,8754	94,6908	16,0585	-26,5974	-2,5493	31,1737	-14,5056	-3,9674	5,7334	16,0943	8,2106
94,8000	-1,6361	-1,5196	5,4346	5,8754	94,7906	16,0533	-26,5953	-2,6034	31,1737	-14,5009	-3,9753	5,7326	16,0916	8,2080
94,9000	-1,6314	-1,5275	5,4338	5,8754	94,8904	16,0480	-26,5932	-2,6576	31,1737	-14,4961	-3,9832	5,7318	16,0890	8,2054
95,0000	-1,6266	-1,5354	5,4330	5,8754	94,9902	16,0427	-26,5909	-2,7117	31,1737	-14,4913	-3,9911	5,7310	16,0864	8,2027
95,1000	-1,6219	-1,5433	5,4322	5,8754	95,0900	16,0373	-26,5886	-2,7657	31,1737	-14,4866	-3,9990	5,7302	16,0838	8,2001
95,2000	-1,6171	-1,5512	5,4313	5,8754	95,1898	16,0319	-26,5862	-2,8198	31,1737	-14,4818	-4,0069	5,7294	16,0812	8,1975
95,3000	-1,6123	-1,5591	5,4305	5,8754	95,2896	16,0264	-26,5837	-2,8739	31,1737	-14,4771	-4,0148	5,7285	16,0785	8,1949
95,4000	-1,6076	-1,5670	5,4296	5,8754	95,3894	16,0208	-26,5812	-2,9280	31,1737	-14,4723	-4,0227	5,7277	16,0759	8,1923
95,5000	-1,6028	-1,5749	5,4288	5,8754	95,4892	16,0153	-26,5785	-2,9820	31,1737	-14,4675	-4,0306	5,7268	16,0733	8,1896
95,6000	-1,5981	-1,5828	5,4279	5,8754	95,5890	16,0096	-26,5758	-3,0361	31,1737	-14,4628	-4,0385	5,7259	16,0707	8,1870
95,7000	-1,5933	-1,5907	5,4270	5,8754	95,6888	16,0039	-26,5730	-3,0901	31,1737	-14,4580	-4,0464	5,7250	16,0681	8,1844
95,8000	-1,5885	-1,5986	5,4260	5,8754	95,7886	15,9982	-26,5701	-3,1441	31,1737	-14,4533	-4,0543	5,7241	16,0655	8,1818
95,9000	-1,5838	-1,6065	5,4251	5,8754	95,8884	15,9924	-26,5671	-3,1982	31,1737	-14,4485	-4,0622	5,7231	16,0628	8,1792
96,0000	-1,5790	-1,6143	5,4241	5,8754	95,9882	15,9866	-26,5641	-3,2522	31,1737	-14,4438	-4,0701	5,7222	16,0602	8,1766
96,1000	-1,5743	-1,6222	5,4232	5,8754	96,0880	15,9807	-26,5610	-3,3062	31,1737	-14,4390	-4,0779	5,7212	16,0576	8,1739
96,2000	-1,5695	-1,6301	5,4222	5,8754	96,1878	15,9748	-26,5577	-3,3602	31,1737	-14,4343	-4,0858	5,7202	16,0550	8,1713
96,3000	-1,5648	-1,6380	5,4212	5,8754	96,2876	15,9688	-26,5544	-3,4141	31,1737	-14,4295	-4,0937	5,7192	16,0524	8,1687
96,4000	-1,5601	-1,6459	5,4201	5,8754	96,3874	15,9628	-26,5511	-3,4681	31,1737	-14,4248	-4,1016	5,7182	16,0498	8,1661
96,5000	-1,5553	-1,6538	5,4191	5,8754	96,4872	15,9567	-26,5476	-3,5221	31,1737	-14,4200	-4,1095	5,7171	16,0472	8,1635
96,6000	-1,5506	-1,6617	5,4180	5,8754	96,5870	15,9506	-26,5441	-3,5760	31,1737	-14,4153	-4,1174	5,7161	16,0445	8,1609
96,7000	-1,5458	-1,6696	5,4170	5,8754	96,6868	15,9445	-26,5405	-3,6299	31,1737	-14,4106	-4,1253	5,7150	16,0419	8,1583
96,8000	-1,5411	-1,6774	5,4159	5,8754	96,7866	15,9382	-26,5368	-3,6839	31,1737	-14,4058	-4,1332	5,7139	16,0393	8,1557
96,9000	-1,5364	-1,6853	5,4148	5,8754	96,8864	15,9320	-26,5330	-3,7378	31,1737	-14,4011	-4,1410	5,7128	16,0367	8,1530
97,0000	-1,5316	-1,6932	5,4137	5,8754	96,9862	15,9257	-26,5291	-3,7917	31,1737	-14,3964	-4,1489	5,7117	16,0341	8,1504
97,1000	-1,5269	-1,7011	5,4125	5,8754	97,0860	15,9193	-26,5252	-3,8456	31,1737	-14,3916	-4,1568	5,7106	16,0315	8,1478
97,2000	-1,5222	-1,7090	5,4114	5,8754	97,1858	15,9129	-26,5212	-3,8995	31,1737	-14,3869	-4,1647	5,7094	16,0289	8,1452
97,3000	-1,5175	-1,7168	5,4102	5,8754	97,2857	15,9064	-26,5171	-3,9533	31,1737	-14,3822	-4,1726	5,7082	16,0263	8,1426
97,4000	-1,5127	-1,7247	5,4090	5,8754	97,3855	15,8999	-26,5129	-4,0072	31,1737	-14,3775	-4,1804	5,7071	16,0237	8,1400
97,5000	-1,5080	-1,7326	5,4078	5,8754	97,4853	15,8934	-26,5086	-4,0610	31,1737	-14,3727	-4,1883	5,7059	16,0211	8,1374
97,6000	-1,5033	-1,7405	5,4066	5,8754	97,5851	15,8868	-26,5043	-4,1149	31,1737	-14,3680	-4,1962	5,7046	16,0185	8,1348
97,7000	-1,4986	-1,7483	5,4054	5,8754	97,6849	15,8801	-26,4999	-4,1687	31,1737	-14,3633	-4,2041	5,7034	16,0159	8,1322
97,8000	-1,4939	-1,7562	5,4041	5,8754	97,7847	15,8734	-26,4954	-4,2225	31,1737	-14,3586	-4,2119	5,7022	16,0132	8,1296
97,9000	-1,4891	-1,7641	5,4029	5,8754	97,8845	15,8667	-26,4908	-4,2763	31,1737	-14,3539	-4,2198	5,7009	16,0106	8,1270
98,0000	-1,4844	-1,7720	5,4016	5,8754	97,9843	15,8599	-26,4861	-4,3301	31,1737	-14,3492	-4,2277	5,6996	16,0080	8,1244
98,1000	-1,4797	-1,7798	5,4003	5,8754	98,0841	15,8530	-26,4814	-4,3838	31,1737	-14,3444	-4,2355	5,6983	16,0054	8,1218
98,2000	-1,4750	-1,7877	5,3990	5,8754	98,1839	15,8461	-26,4765	-4,4376	31,1737	-14,3397	-4,2434	5,6970	16,0028	8,1192
98,3000	-1,4703	-1,7955	5,3977	5,8754	98,2837	15,8392	-26,4716	-4,4913	31,1737	-14,3350	-4,2513	5,6957	16,0002	8,1166
98,4000	-1,4656	-1,8034	5,3963	5,8754	98,3835	15,8322	-26,4666	-4,5450	31,1737	-14,3303	-4,2591	5,6944	15,9976	8,1140
98,5000	-1,4609	-1,8113	5,3950	5,8754	98,4833	15,8252	-26,4616	-4,5988	31,1737	-14,3256	-4,2670	5,6930	15,9950	8,1114
98,6000	-1,4562	-1,8191	5,3936	5,8754	98,5831	15,8181	-26,4564	-4,6525	31,1737	-14,3209	-4,2748	5,6916	15,9924	8,1088
98,7000	-1,4515	-1,8270	5,3922	5,8754	98,6829	15,8110	-26,4512	-4,7061	31,1737	-14,3162	-4,2827	5,6902	15,9898	8,1062
98,8000	-1,4468	-1,8348	5,3908	5,8754	98,7827	15,8038	-26,4459	-4,7598	31,1737	-14,3115	-4,2906	5,6888	15,9872	8,1036
98,9000	-1,4421	-1,8427	5,3894	5,8754	98,8825	15,7965	-26,4405	-4,8135	31,1737	-14,3068	-4,2984	5,6874	15,9846	8,1010
99,0000	-1,4374	-1,8506	5,3879	5,8754	98,9823	15,7893	-26,4350	-4,8671	31,1737	-14,3022	-4,3063	5,6860	15,9820	8,0984
99,1000	-1,4327	-1,8584	5,3865	5,8754	99,0821	15,7819	-26,4294	-4,9207	31,1737	-14,2975	-4,3141	5,6845	15,9794	8,0958
99,2000	-1,4280	-1,8663	5,3850	5,8754	99,1819	15,7746	-26,4238	-4,9743	31,1737	-14,2928	-4,3220	5,6830	15,9769	8,0932
99,3000	-1,4234	-1,8741	5,3835	5,8754	99,2817	15,7671	-26,4181	-5,0279	31,1737	-14,2881	-4,3298	5,6816	15,9743	8,0906
99,4000	-1,4187	-1,8820	5,3820	5,8754	99,3815	15,7597	-26,4123	-5,0815	31,1737	-14,2834	-4,3377	5,6801	15,9717	8,0880
99,5000	-1,4140	-1,8898	5,3805	5,8754	99,4813	15,7521	-26,4064	-5,1351	31,1737	-14,2787	-4,3455	5,6785	15,9691	8,0854
99,6000	-1,4093	-1,8976	5,3790	5,8754	99,5811	15,7446	-26,4005	-5,1886	31,1737	-14,2740	-4,3534	5,6770	15,9665	8,0828
99,7000	-1,4046	-1,9055	5,3774	5,8754	99,6809	15,7370	-26,3944	-5,2422	31,1737	-14,2694	-4,3612	5,6755	15,9639	8,0802
99,8000	-1,4000	-1,9133	5,3759	5,8754	99,7807	15,7293	-26,3883	-5,2957	31,1737	-14,2647	-4,3690	5,6739	15,9613	8,0776
99,9000	-1,3953	-1,9212	5,3743	5,8754	99,8805	15,7216	-26,3821	-5,3492	31,1737	-14,2600	-4,3769	5,6723	15,9587	8,0750
100,0000	-1,3906	-1,9290	5,3727	5,8754	99,9802	15,7138	-26,3758	-5,4027	31,1737	-14,2554	-4,3847	5,6707	15,9561	8,0725
100,1000	-1,3860	-1,9368	5,3711	5,8754	100,0800	15,7060	-26,3695	-5,4561	31,1737	-14,2507	-4,3925	5,6691	15,9535	8,0699
100,2000	-1,3813	-1,9447	5,3694	5,8754	100,1798	15,6982	-26,3631	-5,5096	31,1737	-14,2460	-4,4004	5,6675	15,9510	8,0673
100,3000	-1,3766	-1,9525	5,3678	5,8754	100,2796	15,6903	-26,3565	-5,5630	31,1737	-14,2414	-4,4082	5,6658	15,9484	8,0647
100,4000	-1,3720	-1,9603	5,3661	5,8754	100,3794	15,6823	-26,3499	-5,6164	31,1737	-14,2367	-4,4160	5,6642	15,9458	8,0621
100,5000	-1,3673	-1,9681	5,3645	5,8754	100,4792	15,6743	-26,3433	-5,6698	31,1737	-14,2320	-4,4239	5,6625	15,9432	8,0595
100,6000	-1,3627	-1,9760	5,3628	5,8754	100,5790	15,6663	-26,3365	-5,7232	31,1737	-14,2274	-4,4317	5,6608	15,9406	8,0569
100,7000	-1,3580	-1,9838	5,3611	5,8754	100,6788	15,6582	-26,3297	-5,7766	31,1737	-14,2227	-4,4395	5,6591	15,9380	8,0544
100,8000	-1,3534	-1,9916	5,3593	5,8754	100,7786	15,6500	-26,3227	-5,8299	31,1737	-14,2181	-4,4473	5,6574	15,9355	8,0518
100,9000	-1,3487	-1,9994	5,3576	5,8754	100,8784	15,6419	-26,3157	-5,8833	31,1737	-14,2134	-4,4551	5,6556	15,9329	8,0492
101,0000	-1,3441	-2,0073	5,3558	5,8754	100,9782	15,6336	-26,3087	-5,9366	31,1737	-14,2088	-4,4630	5,6539	15,9303	8,0466
101,1000	-1,3394	-2,0151	5,3541	5,8754	101,0780	15,6253	-26,3015	-5,9899	31,1737	-14,2042	-4,4708	5,6521	15,9277	8,0440
101,2000	-1,3348	-2,0229	5,3523	5,8754	101,1778	15,6170	-26,2943	-6,0432	31,1737	-14,1995	-4,4786	5,6503	15,9251	8,0415
101,3000	-1,3301	-2,0307	5,3505	5,8754	101,2776	15,6086	-26,2869	-6,0964	31,1737	-14,1949	-4,4864	5,6485	15,9226	8,0389
101,4000	-1,3255	-2,0385	5,3487	5,8754	101,3774	15,6002	-26,2795	-6,1497	31,1737	-14,1902	-4,4942	5,6467	15,9200	8,0363
101,5000	-1,3209	-2,0463	5,3468	5,8754	101,4772	15,5917	-26,2721	-6,2029	31,1737	-14,1856	-4,5020	5,6449	15,9174	8,0337
101,6000	-1,3162	-2,0541	5,3450	5,8754	101,5770	15,5832	-26,2645	-6,2561	31,1737	-14,1810	-4,5098	5,6430	15,9148	8,0312
101,7000	-1,3116	-2,0619	5,3431	5,8754	101,6768	15,5746	-26,2569	-6,3093	31,1737	-14,1764	-4,5176	5,6411	15,9123	8,0286
101,8000	-1,3070	-2,0697	5,3412	5,8754	101,7766	15,5660	-26,2491	-6,3624	31,1737	-14,1717	-4,5254	5,6393	15,9097	8,0260
101,9000	-1,3024	-2,0775	5,3393	5,8754	101,8764	15,5574	-26,2413	-6,4156	31,1737	-14,1671	-4,5332	5,6374	15,9071	8,0235
102,0000	-1,2978	-2,0853	5,3374	5,8754	101,9762	15,5486	-26,2335	-6,4687	31,1737	-14,1625	-4,5410	5,6354	15,9046	8,0209
102,1000	-1,2931	-2,0931	5,3355	5,8754	102,0760	15,5399	-26,2255	-6,5218	31,1737	-14,1579	-4,5488	5,6335	15,9020	8,0183
102,2000	-1,2885	-2,1009	5,3335	5,8754	102,1758	15,5311	-26,2175	-6,5749	31,1737	-14,1532	-4,5566	5,6316	15,8994	8,0157
102,3000	-1,2839	-2,1087	5,3316	5,8754	102,2756	15,5222	-26,2093	-6,6280	31,1737	-14,1486	-4,5644	5,6296	15,8969	8,0132
102,4000	-1,2793	-2,1164	5,3296	5,8754	102,3754	15,5133	-26,2011	-6,6810	31,1737	-14,1440	-4,5722	5,6276	15,8943	8,0106
102,5000	-1,2747	-2,1242	5,3276	5,8754	102,4752	15,5044	-26,1929	-6,7340	31,1737	-14,1394	-4,5799	5,6256	15,8917	8,0081
102,6000	-1,2701	-2,1320	5,3256	5,8754	102,5750	15,4954	-26,1845	-6,7870	31,1737	-14,1348	-4,5877	5,6236	15,8892	8,0055
102,7000	-1,2655	-2,1398	5,3236	5,8754	102,6748	15,4863	-26,1761	-6,8400	31,1737	-14,1302	-4,5955	5,6216	15,8866	8,0029
102,8000	-1,2609	-2,1476	5,3215	5,8754	102,7746	15,4772	-26,1675	-6,8930	31,1737	-14,1256	-4,6033	5,6196	15,8840	8,0004
102,9000	-1,2563	-2,1553	5,3195	5,8754	102,8743	15,4681	-26,1589	-6,9459	31,1737	-14,1210	-4,6110	5,6175	15,8815	7,9978
103,0000	-1,2517	-2,1631	5,3174	5,8754	102,9741	15,4589	-26,1503	-6,9988	31,1737	-14,1164	-4,6188	5,6154	15,8789	7,9952
103,1000	-1,2471	-2,1709	5,3153	5,8754	103,0739	15,4497	-26,1415	-7,0517	31,1737	-14,1118	-4,6266	5,6134	15,8764	7,9927
103,2000	-1,2425	-2,1786	5,3132	5,8754	103,1737	15,4404	-26,1327	-7,1046	31,1737	-14,1072	-4,6343	5,6113	15,8738	7,9901
103,3000	-1,2379	-2,1864	5,3111	5,8754	103,2735	15,4311	-26,1238	-7,1575	31,1737	-14,1027	-4,6421	5,6091	15,8713	7,9876
103,4000	-1,2333	-2,1942	5,3090	5,8754	103,3733	15,4217	-26,1148	-7,2103	31,1737	-14,0981	-4,6499	5,6070	15,8687	7,9850
103,5000	-1,2288	-2,2019	5,3068	5,8754	103,4731	15,4123	-26,1057	-7,2631	31,1737	-14,0935	-4,6576	5,6049	15,8661	7,9825
103,6000	-1,2242	-2,2097	5,3047	5,8754	103,5729	15,4028	-26,0965	-7,3159	31,1737	-14,0889	-4,6654	5,6027	15,8636	7,9799
103,7000	-1,2196	-2,2174	5,3025	5,8754	103,6727	15,3933	-26,0873	-7,3687	31,1737	-14,0843	-4,6731	5,6005	15,8610	7,9774
103,8000	-1,2150	-2,2252	5,3003	5,8754	103,7725	15,3838	-26,0780	-7,4214	31,1737	-14,0798	-4,6809	5,5983	15,8585	7,9748
103,9000	-1,2105	-2,2329	5,2981	5,8754	103,8723	15,3742	-26,0686	-7,4742	31,1737	-14,0752	-4,6886	5,5961	15,8559	7,9723
104,0000	-1,2059	-2,2406	5,2958	5,8754	103,9721	15,3645	-26,0591	-7,5269	31,1737	-14,0706	-4,6964	5,5939	15,8534	7,9697
104,1000	-1,2014	-2,2484	5,2936	5,8754	104,0719	15,3548	-26,0496	-7,5795	31,1737	-14,0661	-4,7041	5,5916	15,8508	7,9672
104,2000	-1,1968	-2,2561	5,2913	5,8754	104,1717	15,3451	-26,0399	-7,6322	31,1737	-14,0615	-4,7118	5,5894	15,8483	7,9646
104,3000	-1,1922	-2,2639	5,2891	5,8754	104,2715	15,3353	-26,0302	-7,6848	31,1737	-14,0570	-4,7196	5,5871	15,8458	7,9621
104,4000	-1,1877	-2,2716	5,2868	5,8754	104,3712	15,3254	-26,0204	-7,7374	31,1737	-14,0524	-4,7273	5,5848	15,8432	7,9595
104,5000	-1,1831	-2,2793	5,2845	5,8754	104,4710	15,3155	-26,0106	-7,7900	31,1737	-14,0479	-4,7350	5,5825	15,8407	7,9570
104,6000	-1,1786	-2,2870	5,2821	5,8754	104,5708	15,3056	-26,0006	-7,8426	31,1737	-14,0433	-4,7428	5,5802	15,8381	7,9545
104,7000	-1,1740	-2,2948	5,2798	5,8754	104,6706	15,2956	-25,9906	-7,8951	31,1737	-14,0388	-4,7505	5,5778	15,8356	7,9519
104,8000	-1,1695	-2,3025	5,2775	5,8754	104,7704	15,2856	-25,9805	-7,9476	31,1737	-14,0342	-4,7582	5,5755	15,8331	7,9494
104,9000	-1,1650	-2,3102	5,2751	5,8754	104,8702	15,2755	-25,9703	-8,0001	31,1737	-14,0297	-4,7659	5,5731	15,8305	7,9469
105,0000	-1,1604	-2,3179	5,2727	5,8754	104,9700	15,2654	-25,9600	-8,0526	31,1737	-14,0251	-4,7736	5,5707	15,8280	7,9443
105,1000	-1,1559	-2,3256	5,2703	5,8754	105,0698	15,2552	-25,9497	-8,1050	31,1737	-14,0206	-4,7813	5,5683	15,8255	7,9418
105,2000	-1,1514	-2,3333	5,2679	5,8754	105,1696	15,2450	-25,9392	-8,1574	31,1737	-14,0161	-4,7890	5,5659	15,8229	7,9393
105,3000	-1,1468	-2,3410	5,2655	5,8754	105,2694	15,2348	-25,9287	-8,2098	31,1737	-14,0116	-4,7967	5,5635	15,8204	7,9367
105,4000	-1,1423	-2,3487	5,2630	5,8754	105,3691	15,2245	-25,9182	-8,2622	31,1737	-14,0070	-4,8044	5,5610	15,8179	7,9342
105,5000	-1,1378	-2,3564	5,2605	5,8754	105,4689	15,2141	-25,9075	-8,3145	31,1737	-14,0025	-4,8121	5,5586	15,8153	7,9317
105,6000	-1,1333	-2,3641	5,2581	5,8754	105,5687	15,2037	-25,8968	-8,3668	31,1737	-13,9980	-4,8198	5,5561	15,8128	7,9291
105,7000	-1,1288	-2,3718	5,2556	5,8754	105,6685	15,1933	-25,8859	-8,4191	31,1737	-13,9935	-4,8275	5,5536	15,8103	7,9266
105,8000	-1,1242	-2,3795	5,2531	5,8754	105,7683	15,1828	-25,8750	-8,4714	31,1737	-13,9890	-4,8352	5,5511	15,8078	7,9241
105,9000	-1,1197	-2,3872	5,2505	5,8754	105,8681	15,1722	-25,8641	-8,5236	31,1737	-13,9845	-4,8429	5,5486	15,8052	7,9216
106,0000	-1,1152	-2,3949	5,2480	5,8754	105,9679	15,1616	-25,8530	-8,5758	31,1737	-13,9800	-4,8506	5,5460	15,8027	7,9190
106,1000	-1,1107	-2,4025	5,2454	5,8754	106,0677	15,1510	-25,8419	-8,6280	31,1737	-13,9755	-4,8583	5,5435	15,8002	7,9165
106,2000	-1,1062	-2,4102	5,2429	5,8754	106,1675	15,1403	-25,8307	-8,6802	31,1737	-13,9710	-4,8659	5,5409	15,7977	7,9140
106,3000	-1,1017	-2,4179	5,2403	5,8754	106,2672	15,1296	-25,8194	-8,7323	31,1737	-13,9665	-4,8736	5,5383	15,7952	7,9115
106,4000	-1,0972	-2,4256	5,2377	5,8754	106,3670	15,1188	-25,8080	-8,7844	31,1737	-13,9620	-4,8813	5,5357	15,7926	7,9090
106,5000	-1,0927	-2,4332	5,2351	5,8754	106,4668	15,1080	-25,7966	-8,8365	31,1737	-13,9575	-4,8889	5,5331	15,7901	7,9064
106,6000	-1,0883	-2,4409	5,2324	5,8754	106,5666	15,0972	-25,7850	-8,8885	31,1737	-13,9530	-4,8966	5,5305	15,7876	7,9039
106,7000	-1,0838	-2,4485	5,2298	5,8754	106,6664	15,0863	-25,7734	-8,9406	31,1737	-13,9485	-4,9043	5,5278	15,7851	7,9014
106,8000	-1,0793	-2,4562	5,2271	5,8754	106,7662	15,0753	-25,7617	-8,9926	31,1737	-13,9440	-4,9119	5,5252	15,7826	7,8989
106,9000	-1,0748	-2,4639	5,2244	5,8754	106,8660	15,0643	-25,7500	-9,0445	31,1737	-13,9395	-4,9196	5,5225	15,7801	7,8964
107,0000	-1,0703	-2,4715	5,2218	5,8754	106,9658	15,0533	-25,7381	-9,0965	31,1737	-13,9351	-4,9272	5,5198	15,7776	7,8939
107,1000	-1,0659	-2,4791	5,2190	5,8754	107,0655	15,0422	-25,7262	-9,1484	31,1737	-13,9306	-4,9349	5,5171	15,7751	7,8914
107,2000	-1,0614	-2,4868	5,2163	5,8754	107,1653	15,0310	-25,7142	-9,2003	31,1737	-13,9261	-4,9425	5,5143	15,7726	7,8889
107,3000	-1,0569	-2,4944	5,2136	5,8754	107,2651	15,0199	-25,7021	-9,2521	31,1737	-13,9217	-4,9501	5,5116	15,7701	7,8864
107,4000	-1,0525	-2,5021	5,2108	5,8754	107,3649	15,0086	-25,6900	-9,3040	31,1737	-13,9172	-4,9578	5,5088	15,7676	7,8839
107,5000	-1,0480	-2,5097	5,2080	5,8754	107,4647	14,9974	-25,6778	-9,3558	31,1737	-13,9128	-4,9654	5,5061	15,7651	7,8814
107,6000	-1,0436	-2,5173	5,2053	5,8754	107,5645	14,9860	-25,6654	-9,4076	31,1737	-13,9083	-4,9730	5,5033	15,7626	7,8789
107,7000	-1,0391	-2,5249	5,2025	5,8754	107,6643	14,9747	-25,6531	-9,4593	31,1737	-13,9039	-4,9806	5,5005	15,7601	7,8764
107,8000	-1,0347	-2,5326	5,1996	5,8754	107,7640	14,9633	-25,6406	-9,5110	31,1737	-13,8994	-4,9883	5,4977	15,7576	7,8739
107,9000	-1,0302	-2,5402	5,1968	5,8754	107,8638	14,9518	-25,6280	-9,5627	31,1737	-13,8950	-4,9959	5,4948	15,7551	7,8714
108,0000	-1,0258	-2,5478	5,1940	5,8754	107,9636	14,9403	-25,6154	-9,6144	31,1737	-13,8905	-5,0035	5,4920	15,7526	7,8689
108,1000	-1,0214	-2,5554	5,1911	5,8754	108,0634	14,9288	-25,6027	-9,6660	31,1737	-13,8861	-5,0111	5,4891	15,7501	7,8664
108,2000	-1,0169	-2,5630	5,1882	5,8754	108,1632	14,9172	-25,5899	-9,7176	31,1737	-13,8817	-5,0187	5,4862	15,7476	7,8639
108,3000	-1,0125	-2,5706	5,1853	5,8754	108,2630	14,9055	-25,5771	-9,7692	31,1737	-13,8772	-5,0263	5,4834	15,7451	7,8614
108,4000	-1,0081	-2,5782	5,1824	5,8754	108,3627	14,8939	-25,5641	-9,8207	31,1737	-13,8728	-5,0339	5,4804	15,7426	7,8589
